Case,Condition,Response
1,High Power,1
2,High Power,1
3,High Power,1
4,High Power,1
5,High Power,1
6,High Power,1
7,High Power,1
8,High Power,1
9,High Power,0
10,High Power,0
11,High Power,0
12,High Power,0
13,High Power,0
14,High Power,0
15,High Power,0
16,High Power,0
17,High Power,0
18,High Power,0
19,High Power,0
20,High Power,0
21,High Power,0
22,High Power,0
23,High Power,0
24,High Power,0
1,Low Power,1
2,Low Power,1
3,Low Power,1
4,Low Power,1
5,Low Power,0
6,Low Power,0
7,Low Power,0
8,Low Power,0
9,Low Power,0
10,Low Power,0
11,Low Power,0
12,Low Power,0
13,Low Power,0
14,Low Power,0
15,Low Power,0
16,Low Power,0
17,Low Power,0
18,Low Power,0
19,Low Power,0
20,Low Power,0
21,Low Power,0
22,Low Power,0
23,Low Power,0
24,Low Power,0
25,Low Power,0
26,Low Power,0
27,Low Power,0
28,Low Power,0
29,Low Power,0
30,Low Power,0
31,Low Power,0
32,Low Power,0
33,Low Power,0
