"","uID","variable","factor",".id","source","rise1.3","rise2.3","sex","Source.Global","Source.Primary","Source.Secondary","Country","Location","Language","Weird","Execution","SubjectPool","Setting","Tablet","Pencil","StudyOrderN","IDiffOrderN","study.order","analysis.type","subset","case.include"
"1396",5407,5,"Unprepared","ML2_Slate2_USEng_Inlab_DEPLOY_r.csv","westernkentucky",5,NA,1,"westernkentucky","westernkentucky","westernkentucky","USA","Psychological Sciences Department, Western Kentucky University, Bowling Green, KY 42101;","English",1,NA,"Yes","In a lab","Computers","No, the whole study was on the computer (except maybe consent/debriefing)","Tversky.Gati|Risen|Zaval|Hauser|Knobe|Ross.Slate2|Shafir|Norenzayan|Zhong|Hsee|Gray|Savani|Geissner|Tversky|Schwarz","ID: Cognitive reflection|ID: TIPI for Big-Five|ID: Mood|ID: Global self-esteem SISE|ID: Subjective wellbeing",2,"Global","all",TRUE
"1397",5408,3,"Unprepared","ML2_Slate2_USEng_Inlab_DEPLOY_r.csv","westernkentucky",3,NA,2,"westernkentucky","westernkentucky","westernkentucky","USA","Psychological Sciences Department, Western Kentucky University, Bowling Green, KY 42101;","English",1,NA,"Yes","In a lab","Computers","No, the whole study was on the computer (except maybe consent/debriefing)","Tversky.Gati|Knobe|Gray|Schwarz|Norenzayan|Hauser|Geissner|Zhong|Tversky|Shafir|Savani|Ross.Slate2|Hsee|Risen|Zaval","ID: Global self-esteem SISE|ID: TIPI for Big-Five|ID: Mood|ID: Cognitive reflection|ID: Subjective wellbeing",14,"Global","all",TRUE
"1398",5409,6,"Unprepared","ML2_Slate2_USEng_Inlab_DEPLOY_r.csv","westernkentucky",6,NA,2,"westernkentucky","westernkentucky","westernkentucky","USA","Psychological Sciences Department, Western Kentucky University, Bowling Green, KY 42101;","English",1,NA,"Yes","In a lab","Computers","No, the whole study was on the computer (except maybe consent/debriefing)","Shafir|Ross.Slate2|Hauser|Tversky.Gati|Knobe|Risen|Geissner|Zhong|Zaval|Hsee|Schwarz|Norenzayan|Gray|Savani|Tversky","ID: Cognitive reflection|ID: TIPI for Big-Five|ID: Global self-esteem SISE|ID: Subjective wellbeing|ID: Mood",6,"Global","all",TRUE
"1400",5412,8,"Unprepared","ML2_Slate2_USEng_Inlab_DEPLOY_r.csv","westernkentucky",8,NA,2,"westernkentucky","westernkentucky","westernkentucky","USA","Psychological Sciences Department, Western Kentucky University, Bowling Green, KY 42101;","English",1,NA,"Yes","In a lab","Computers","No, the whole study was on the computer (except maybe consent/debriefing)","Geissner|Hauser|Tversky.Gati|Savani|Zaval|Schwarz|Risen|Shafir|Tversky|Knobe|Hsee|Ross.Slate2|Gray|Zhong|Norenzayan","ID: Global self-esteem SISE|ID: Subjective wellbeing|ID: TIPI for Big-Five|ID: Cognitive reflection|ID: Mood",7,"Global","all",TRUE
"1401",5415,6,"Unprepared","ML2_Slate2_USEng_Inlab_DEPLOY_r.csv","westernkentucky",6,NA,2,"westernkentucky","westernkentucky","westernkentucky","USA","Psychological Sciences Department, Western Kentucky University, Bowling Green, KY 42101;","English",1,NA,"Yes","In a lab","Computers","No, the whole study was on the computer (except maybe consent/debriefing)","Hsee|Ross.Slate2|Geissner|Zaval|Gray|Tversky|Savani|Schwarz|Risen|Tversky.Gati|Shafir|Hauser|Knobe|Norenzayan|Zhong","ID: TIPI for Big-Five|ID: Subjective wellbeing|ID: Cognitive reflection|ID: Mood|ID: Global self-esteem SISE",9,"Global","all",TRUE
"1402",5417,5,"Unprepared","ML2_Slate2_USEng_Inlab_DEPLOY_r.csv","westernkentucky",5,NA,2,"westernkentucky","westernkentucky","westernkentucky","USA","Psychological Sciences Department, Western Kentucky University, Bowling Green, KY 42101;","English",1,NA,"Yes","In a lab","Computers","No, the whole study was on the computer (except maybe consent/debriefing)","Risen|Zaval|Hauser|Gray|Tversky.Gati|Schwarz|Norenzayan|Knobe|Hsee|Ross.Slate2|Geissner|Tversky|Zhong|Savani|Shafir","ID: Subjective wellbeing|ID: Global self-esteem SISE|ID: TIPI for Big-Five|ID: Mood|ID: Cognitive reflection",1,"Global","all",TRUE
"1403",5425,5,"Unprepared","ML2_Slate2_USEng_Inlab_DEPLOY_r.csv","westernkentucky",5,NA,2,"westernkentucky","westernkentucky","westernkentucky","USA","Psychological Sciences Department, Western Kentucky University, Bowling Green, KY 42101;","English",1,NA,"Yes","In a lab","Computers","No, the whole study was on the computer (except maybe consent/debriefing)","Tversky|Tversky.Gati|Geissner|Zhong|Risen|Shafir|Hauser|Zaval|Gray|Savani|Hsee|Knobe|Schwarz|Norenzayan|Ross.Slate2","ID: Global self-esteem SISE|ID: Mood|ID: TIPI for Big-Five|ID: Subjective wellbeing|ID: Cognitive reflection",5,"Global","all",TRUE
"1404",5427,5,"Unprepared","ML2_Slate2_USEng_Inlab_DEPLOY_r.csv","westernkentucky",5,NA,2,"westernkentucky","westernkentucky","westernkentucky","USA","Psychological Sciences Department, Western Kentucky University, Bowling Green, KY 42101;","English",1,NA,"Yes","In a lab","Computers","No, the whole study was on the computer (except maybe consent/debriefing)","Shafir|Zaval|Hauser|Knobe|Tversky|Hsee|Savani|Gray|Schwarz|Ross.Slate2|Zhong|Geissner|Norenzayan|Risen|Tversky.Gati","ID: Subjective wellbeing|ID: TIPI for Big-Five|ID: Cognitive reflection|ID: Mood|ID: Global self-esteem SISE",14,"Global","all",TRUE
"1405",5431,5,"Unprepared","ML2_Slate2_USEng_Inlab_DEPLOY_r.csv","westernkentucky",5,NA,2,"westernkentucky","westernkentucky","westernkentucky","USA","Psychological Sciences Department, Western Kentucky University, Bowling Green, KY 42101;","English",1,NA,"Yes","In a lab","Computers","No, the whole study was on the computer (except maybe consent/debriefing)","Schwarz|Norenzayan|Hauser|Savani|Risen|Tversky.Gati|Geissner|Hsee|Ross.Slate2|Knobe|Gray|Zaval|Shafir|Zhong|Tversky","ID: Mood|ID: Subjective wellbeing|ID: Global self-esteem SISE|ID: Cognitive reflection|ID: TIPI for Big-Five",5,"Global","all",TRUE
"1413",5446,5,"Unprepared","ML2_Slate2_USEng_Inlab_DEPLOY_r.csv","westernkentucky",5,NA,1,"westernkentucky","westernkentucky","westernkentucky","USA","Psychological Sciences Department, Western Kentucky University, Bowling Green, KY 42101;","English",1,NA,"Yes","In a lab","Computers","No, the whole study was on the computer (except maybe consent/debriefing)","Knobe|Norenzayan|Tversky|Hsee|Tversky.Gati|Savani|Risen|Gray|Ross.Slate2|Shafir|Zaval|Geissner|Zhong|Schwarz|Hauser","ID: Mood|ID: Subjective wellbeing|ID: TIPI for Big-Five|ID: Global self-esteem SISE|ID: Cognitive reflection",7,"Global","all",TRUE
